,URL,Rate
0,http://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,4.9
1,http://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,4.8
2,http://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,4.8
3,http://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/,4.8
4,http://www.skiresort.info/ski-resort/serfaus-fiss-ladis/,4.8
5,http://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,4.7
6,http://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,4.7
7,http://www.skiresort.info/ski-resort/arosa-lenzerheide/,4.7
8,http://www.skiresort.info/ski-resort/val-gardena-groeden/,4.7
9,http://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,4.7
10,http://www.skiresort.info/ski-resort/st-moritz-corviglia/,4.7
11,http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/,4.7
12,http://www.skiresort.info/ski-resort/soelden/,4.7
13,http://www.skiresort.info/ski-resort/silvretta-montafon/,4.6
14,http://www.skiresort.info/ski-resort/madonna-di-campigliopinzolofolgaridamarilleva/,4.6
15,http://www.skiresort.info/ski-resort/les-3-vallees-val-thorensles-menuiresmeribelcourchevel/,4.6
16,http://www.skiresort.info/ski-resort/mayrhofen-penkenahornrastkogeleggalm/,4.6
17,http://www.skiresort.info/ski-resort/tignesval-disere/,4.6
18,http://www.skiresort.info/ski-resort/obertauern/,4.5
19,http://www.skiresort.info/ski-resort/gurgl-obergurgl-hochgurgl/,4.5
20,http://www.skiresort.info/ski-resort/laaxflimsfalera/,4.5
21,http://www.skiresort.info/ski-resort/zermattbreuil-cerviniavaltournenche-matterhorn/,4.5
22,http://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,4.5
23,http://www.skiresort.info/ski-resort/kronplatz-plan-de-corones/,4.5
24,http://www.skiresort.info/ski-resort/snow-space-salzburg-flachauwagrainst-johann-alpendorf/,4.5
